model_a,model_b,b_a_correct_b_wrong,c_a_wrong_b_correct,n_discordant,advantage_sign,advantage_frac,p_value,significant_0.05
svm_tfidf,zero_shot,768,100,868,1.0,0.7695852534562212,2.356195889440951e-128,True
lstm_skorch,svm_tfidf,90,595,685,-1.0,-0.7372262773722628,3.5398989895948825e-92,True
minilm_logreg,svm_tfidf,98,590,688,-1.0,-0.7151162790697675,1.6874133617076282e-86,True
regex_keyword,zero_shot,658,176,834,1.0,0.5779376498800959,3.593901799380799e-66,True
lstm_skorch,regex_keyword,257,576,833,-1.0,-0.382953181272509,6.524479448423287e-29,True
regex_keyword,svm_tfidf,59,245,304,-1.0,-0.6118421052631579,4.319406338856955e-28,True
minilm_logreg,regex_keyword,272,578,850,-1.0,-0.36,3.7631213497748604e-26,True
minilm_logreg,zero_shot,656,480,1136,1.0,0.15492957746478872,1.9700388574852112e-07,True
lstm_skorch,zero_shot,638,475,1113,1.0,0.14645103324348607,1.1495142663259047e-06,True
lstm_skorch,minilm_logreg,298,311,609,-1.0,-0.021346469622331693,0.6268157481020566,False
